Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,981607427.2,1139434504,1351923641,1515909823,1575961101,1701452874,1801538337,1933189215,2091786180,2145066984,2170502935,2323455542,2369738447,2399076807,2581804608,2505092565,2423084692,2470953875,2666444959,2698824916,2727178974,2776274358,2773756054,2481963892,2390502793,2472880828,2439005749,2541400876,2549025079,2694319531,2750900230,2805918210,,
Afghanistan,AFG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7465114629,8124454292,8239343661,9164598459,9655582954,10990594707,11421973771,13865194315,15856574731,15924179998,17954877147,18960483970,19477070578,19759744157,20206376461,20744935406,21126660586,21739593382
Angola,AGO,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,26521454739,25354510407,25354510407,26419400207,28004564791,28984724416,29825281929,31042973220,32945563049,32959275474,31822147945,32137619769,30261335306,23003632936,23311735184,26808495469,30439537221,32653793584,34185630862,34931386885,35998409494,37512502078,42638843018,43913680471,48723485190,56046096519,62518122179,71276922501,79235802265,79916210095,83799496611,86708999526,94115810020,98778862975,1.03543E+11,1.0452E+11,1.01823E+11,1.01673E+11,99635905543,98769677172
Albania,ALB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,5323398064,5629261102,5795245315,5859279197,5785944656,5888971730,6220947387,6171936110,6084292169,6682776548,6042857913,4350728280,4038036613,4424049157,4791372056,5429694612,5923796792,5276919125,5742875712,6483126461,6933706092,7508515183,7849398817,8283474557,8739893897,9223202584,9767379280,10351466806,11127823666,11500613162,11926928506,12230507222,12403877841,12528163103,12750473702,13033375122,13465406060,13977387391,14546448944,14868516511
Andorra,AND,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,1012346693,1059415401,1145755039,1234991794,1304383387,1311455827,1354783535,1393240089,1413623194,1414210656,1445446718,1443531869,1461524933,1487395653,1513941005,1549086132,1599482888,1688208158,1774210989,1859852761,1930181002,1979323466,1997715576,1977109460,2024227689,2080045751,2176762473,2374144159,2449993086,2550420283,2640408326,2854792523,2984581731,3244067347,3507994167,3697348535,3875142516,3935330770,3716558399,3519475010,3449966857,3449688453,3278085642,3161792390,3240978391,3287458571,3409412701,3421211719,3475566751,3539838261
Arab World,ARB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,5.70548E+11,6.60722E+11,7.1507E+11,7.10385E+11,7.92342E+11,8.64743E+11,8.89911E+11,8.09109E+11,7.53758E+11,7.63982E+11,7.46453E+11,7.81608E+11,7.77734E+11,8.21308E+11,8.4067E+11,9.50896E+11,9.65295E+11,1.01339E+12,1.04653E+12,1.08001E+12,1.10976E+12,1.16076E+12,1.20998E+12,1.2737E+12,1.2965E+12,1.36728E+12,1.38877E+12,1.39687E+12,1.47135E+12,1.6085E+12,1.70099E+12,1.81158E+12,1.89405E+12,2.00407E+12,2.01259E+12,2.10602E+12,2.18639E+12,2.33048E+12,2.40469E+12,2.46354E+12,2.54172E+12,2.62869E+12,2.65859E+12,2.71415E+12,2.75427E+12
United Arab Emirates,ARE,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,56806673982,66195031477,80386802832,79108971545,95661395017,1.185E+11,1.24021E+11,1.15688E+11,1.10198E+11,1.14624E+11,1.10504E+11,93974812607,97153023581,94608675562,1.06281E+11,1.25761E+11,1.26842E+11,1.31085E+11,1.32738E+11,1.41892E+11,1.51382E+11,1.60159E+11,1.73277E+11,1.73783E+11,1.78827E+11,1.98234E+11,2.01008E+11,2.05899E+11,2.24019E+11,2.4545E+11,2.57367E+11,2.82685E+11,2.91687E+11,3.00997E+11,2.85216E+11,2.89787E+11,3.0987E+11,3.23767E+11,3.40128E+11,3.547E+11,3.72811E+11,3.84222E+11,3.93342E+11,3.98022E+11,4.047E+11
Argentina,ARG,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.15574E+11,1.21847E+11,1.20809E+11,1.14396E+11,1.25985E+11,1.39301E+11,1.38382E+11,1.42799E+11,1.49685E+11,1.64174E+11,1.69174E+11,1.78746E+11,1.81657E+11,1.86765E+11,1.971E+11,1.97044E+11,1.93067E+11,2.06455E+11,1.97152E+11,2.17306E+11,2.20606E+11,2.09157E+11,2.07619E+11,2.16648E+11,2.20051E+11,2.08633E+11,2.21471E+11,2.27461E+11,2.24982E+11,2.0888E+11,2.03727E+11,2.22333E+11,2.3998E+11,2.59676E+11,2.74831E+11,2.67011E+11,2.81768E+11,3.04622E+11,3.16351E+11,3.05641E+11,3.0323E+11,2.89861E+11,2.58282E+11,2.81106E+11,3.06489E+11,3.33618E+11,3.60465E+11,3.92935E+11,4.08877E+11,3.84677E+11,4.23627E+11,4.49062E+11,4.44453E+11,4.55143E+11,4.43707E+11,4.55825E+11,4.46343E+11,4.58254E+11,4.46881E+11,4.37215E+11
Armenia,ARM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6352022585,5608836039,3264342421,2977080327,3137842747,3354353847,3551100143,3669035009,3936874564,4066791425,4306732119,4720178402,5343241952,6091295825,6730881886,7666474469,8678449098,9867396625,10548246992,9060944166,9260284938,9695518330,10393595650,10736584306,11123101341,11479040584,11501998665,12364648565,13007610290,13996188673
American Samoa,ASM,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,623365638.8,628440528.6,631823788.5,629286343.6,603066079.3,614907489,598837004.4,573462555.1,576000000,577691630,552317180.6,537092511,542167400.9,549779735.7,534555066.1,503259911.9,514255506.6,
