Actress,
Title,Year
Black Glasses,2022
Sans soleil,2021
Asia Argento: I'm Broken,2021
Agony,2020
Shongram,2019
Alien Crystal Palace,2018
Shadow, 2017/X
Mafiosa,2014
Rodolfo Valentino - La leggenda,2014
Obsessive Rhythms,2013
The Voice Thief,2013
Firmeza,2012
Do Not Disturb, 2012/III
Dracula 3D,2012
Drifters,2011
Baciato dalla fortuna,2011
Sangue caldo,2011
Islands,2011
Horses,2011
Diamond 13,2009
On War,2008
Mother of Tears,2007
The Last Mistress,2007
Go Go Tales,2007
Boarding Gate,2007
Donna di Cuori,2006
Friendly Fire,2006
Transylvania,2006
Marie Antoinette,2006
Live Freaky Die Freaky,2006
Land of the Dead,2005
Cindy: The Doll Is Mine,2005
Last Days,2005
Milady and the Three Musketeers,2004
The Keeper,2004
Marilyn Manson: Saint,2004
The Heart Is Deceitful Above All Things,2004
Placebo: This Picture,2003
Ginostra,2002
xXx,2002
The Red Siren,2002
Bluvertigo: L'assenzio,2001
Love Bites,2001
Loredasia,2000
Les misérables,2000
Scarlet Diva,2000
La tua lingua sul mio cuore,1999
The Phantom of the Opera,1998
B. Monkey,1998
New Rose Hotel,1998
Viola Kisses Everybody,1998
Traveling Companion,1996
Il cielo è sempre più blu,1996
The Stendhal Syndrome,1996
De Generazione,1994
Frankie Hi-Nrg MC: Potere alla Parola,1994
La Reine Margot,1994
Perdiamoci di vista,1994
Frankie Hi-Nrg MC: Faccio la mia Cosa,1993
Condannato a nozze,1993
Trauma,1993
Close Friends,1992
Red Wood Pigeon,1989
The Church,1989
Zoo,1988
Turno di notte,1987
Demons 2,1986
Sogni e bisogni,1985
