Movie Name,Year
Five Against a Bullet, 
Once Upon a Zodiac, 
Ride On, 2022
Project X-Traction, 2022
All U Need Is Love, 2021
Vanguard, 2020/I
The Climbers, 2019
The Iron Mask, 2019
The Knight of Shadows: Between Yin and Yang, 2019
Namiya, 2017
Bleeding Steel, 2017
The Foreigner, 2017/I
On the Scene with Lindalee, 2017
The Lego Ninjago Movie, 2017
WildAid: Jackie Chan & Pangolins, 2017
The Nut Job 2: Nutty By Nature, 2017
Kung Fu Yoga, 2017
Railroad Tigers, 2016
The Master, 2016
Skiptrace, 2016
Kung Fu Panda 3, 2016
Monkey King: Hero Is Back, 2015
Dragon Blade, 2015
As the Light Goes Out, 2014
Police Story: Lockdown, 2013
Personal Tailor, 2013
The Unbelievable, 2013
Chinese Zodiac, 2012
Wild Aid: Leonardo DiCaprio and Jackie Chan, 2011
1911, 2011
Kung Fu Panda 2, 2011
Shaolin, 2011
Kung Fu Panda Holiday, 2010
The Legend of Silk Boy, 2010
The Karate Kid, 2010
Little Big Soldier, 2010
The Spy Next Door, 2010
Jian guo da ye, 2009
Looking for Jackie, 2009
Shinjuku Incident, 2009
Kung Fu Panda: Legendary Warriors, 2008
Kung Fu Panda, 2008
The Forbidden Kingdom, 2008
Rush Hour 3, 2007
Rob-B-Hood, 2006
The Myth, 2005
New Police Story, 2004
The Twins Effect II, 2004
Around the World in 80 Days, 2004
Enter the Phoenix, 2004
The Medallion, 2003
The Twins Effect, 2003
Shanghai Knights, 2003
The Tuxedo, 2002
Rush Hour 2, 2001
The Accidental Spy, 2001
Shanghai Noon, 2000
Gen-X Cops, 1999
King of Comedy, 1999
Gorgeous, 1999
Rush Hour, 1998
Who Am I?, 1998
An Alan Smithee Film: Burn Hollywood Burn, 1997
Mr. Nice Guy, 1997
Warren G feat. Adina Howard: What's Love Got to Do with It, 1996
First Strike, 1996
Jackie Chan in Fists of Fire, 1995
Thunderbolt, 1995
Rumble in the Bronx, 1995
The Legend of Drunken Master, 1994
Supercop 2, 1993
Crime Story, 1993
City Hunter, 1993
Supercop, 1992
The Twin Dragons, 1992
A Kid from Tibet, 1991
Armour of God II: Operation Condor, 1991
Island of Fire, 1990
Miracles: The Canton Godfather, 1989
Police Story 2, 1988
Dragons Forever, 1988
Project A Part II, 1987
Armour of God, 1986
Naughty Boys, 1986
Police Story, 1985
Heart of Dragon, 1985
Twinkle Twinkle Lucky Stars, 1985
The Protector, 1985
My Lucky Stars, 1985
Kuai can che, 1984
Cannonball Run II, 1984
Pom Pom, 1984
Project A, 1983
Winners & Sinners, 1983
Fearless Hyena 2, 1983
Fantasy Mission Force, 1983
Dragon Lord, 1982
The Cannonball Run, 1981
Battle Creek Brawl, 1980
The Young Master, 1980
Dragon Fist, 1979
The Fearless Hyena, 1979
Bruce and Shao-lin Kung Fu 2, 1978
Spiritual Kung Fu, 1978
Drunken Master, 1978
Half a Loaf of Kung Fu, 1978
Magnificent Bodyguards, 1978
Snake and Crane Arts of Shaolin, 1978
Snake in the Eagle's Shadow, 1978
To Kill with Intrigue, 1977
Shaolin Wooden Men, 1976
The Killer Meteors, 1976
The Hand of Death, 1976
New Fist of Fury, 1976
The Himalayan, 1976
Pai an jing ji, 1975
All in the Family, 1975
The Golden Lotus, 1974
E hu cun, 1974
Supermen Against the Orient, 1973
Enter The Dragon, 1973
Fists of the Double K, 1973
Village on Fire, 1973
Attack of the Kung Fu Girls, 1973
Rumble in Hong Kong, 1973
Facets of Love, 1973
Chinese Hercules, 1973
Snake Fist Fighter, 1973
Fist of Unicorn, 1973
Not Scared to Die, 1973
Ambush, 1973
Brutal Boxer, 1972
Hapkido, 1972
Fist of Fury, 1972
A Touch of Zen, 1971
The Angry River, 1971
The Blade Spares None, 1971
Huang jiang nu xia, 1970
I Spy, 1965
The Story of Ching Hsian-Lien, 1963
Big and Little Wong Tin Bar, 1962
